timestamp,price,lp_value,lp_delta,hedge_delta,fee_usd,lvr_usd,funding_usd,hedge_cost_usd,gas_usd,net_usd,cum_net
2026-08-01 00:00:00+00:00,1863.93,932025.1223317583,231.78183855174717,-231.78183855174717,0.0,0.0,0.0,0.0,0.0,-68190.89022940761,-68190.89022940761
2026-08-01 01:00:00+00:00,1866.0,932502.8706805459,229.8928254809256,-231.78183855174717,0.0,0.0,3.646016397517633,0.0,0.0,1.6059593830723315,-68189.28427002454
2026-08-01 02:00:00+00:00,1867.48,932842.0306427744,228.51965018178862,-231.78183855174717,0.0,0.0,3.64890820044814,0.0,0.0,-0.22825062763877213,-68189.51252065218
2026-08-01 03:00:00+00:00,1869.0,933188.2636665746,227.14702401548095,-231.78183855174717,0.0,0.0,3.651878160214607,0.0,0.0,-2.4234926382487174,-68191.93601329043
2026-08-01 04:00:00+00:00,1868.84,933151.9200926889,227.31857226307406,-231.78183855174717,0.0,0.0,3.6515655328707677,0.0,0.0,4.393085815419909,-68187.542927475
2026-08-01 05:00:00+00:00,1866.6,932640.6137003452,229.37782037830266,-231.78183855174717,0.0,0.0,1.2481778818403944,0.0,0.0,9.133103894055239,-68178.40982358095
2026-08-01 06:00:00+00:00,1869.47,933294.9029074333,226.80395325017258,-231.78183855174717,0.0,0.0,1.2500970238745108,0.0,0.0,-9.674572531483136,-68188.08439611243
2026-08-01 07:00:00+00:00,1868.9,933165.5592070246,227.31857226307406,-231.78183855174717,0.0,0.0,1.2497158702301043,0.0,0.0,4.021663436011295,-68184.06273267642
2026-08-01 08:00:00+00:00,1868.45,933063.2281058182,227.66169449028402,-231.78183855174717,0.0,0.0,1.2494149594582045,0.0,0.0,3.220141101264744,-68180.84259157516
2026-08-01 09:00:00+00:00,1866.99,932729.9689093968,229.0345265556636,-231.78183855174717,0.0,0.0,1.2484386711760407,0.0,0.0,6.3907265353773255,-68174.45186503978
2026-08-01 10:00:00+00:00,1866.45,932606.2134646797,229.5494801629259,-231.78183855174717,0.0,0.0,1.248077578249761,0.0,0.0,2.654825679041096,-68171.79703936074
2026-08-01 11:00:00+00:00,1866.17,932541.9300179991,229.721148530324,-231.78183855174717,0.0,0.0,1.247890344880579,0.0,0.0,1.8633584588387748,-68169.9336809019
2026-08-01 12:00:00+00:00,1868.35,933040.4739891428,227.83326847075764,-231.78183855174717,0.0,0.0,3.1271594099774647,0.0,0.0,-3.613277489115717,-68173.54695839102
2026-08-01 13:00:00+00:00,1868.36,933042.7523218275,227.83326847075764,-231.78183855174717,0.0,0.0,3.1271761475234814,0.0,0.0,3.0876904466567794,-68170.45926794436
2026-08-01 14:00:00+00:00,1874.32,934383.3995054045,222.34715368477978,-231.78183855174717,0.0,0.0,3.137151724949266,0.0,0.0,-37.63542246641009,-68208.09469041077
2026-08-01 15:00:00+00:00,1869.2,933233.6634251617,226.97548434465662,-231.78183855174717,0.0,0.0,3.1285821013888606,0.0,0.0,40.11551524352399,-68167.97917516725
2026-08-01 16:00:00+00:00,1867.93,932944.7601504379,228.17644216758814,-231.78183855174717,0.0,0.0,3.1264564330447757,0.0,0.0,8.586116669976036,-68159.39305849727
2026-08-01 17:00:00+00:00,1861.19,931386.6702896898,234.3594403074359,-231.78183855174717,0.0,0.0,3.1151753270297093,0.0,0.0,7.2349064176523825,-68152.15815207962
2026-08-01 18:00:00+00:00,1835.75,925125.7127178165,258.16429806966136,-258.16429806966136,0.0,0.0,3.072595009963942,240.2283611958846,0.0,-385.57080413689255,-68537.72895621651
2026-08-01 19:00:00+00:00,1836.48,925313.8145044814,257.47198831827427,-258.16429806966136,0.0,0.0,3.423692618221624,0.0,0.0,3.0655416922818404,-68534.66341452423
2026-08-01 20:00:00+00:00,1837.48,925570.6644391306,256.433783259761,-258.16429806966136,0.0,0.0,1.6454769537591123,0.0,0.0,0.33111353327694815,-68534.33230099095
2026-08-01 21:00:00+00:00,1844.9,927447.2034433044,249.5203696764318,-258.16429806966136,0.0,0.0,1.6521216187333665,0.0,0.0,-37.387965884336154,-68571.72026687529
2026-08-01 22:00:00+00:00,1846.46,927835.1600317296,247.96675611380314,-258.16429806966136,0.0,0.0,1.6535186102912958,0.0,0.0,-13.126197953155497,-68584.84646482844
2026-08-01 23:00:00+00:00,1844.17,927264.8759682012,250.21108902457445,-258.16429806966136,0.0,0.0,1.651467898324848,0.0,0.0,22.56364694943477,-68562.28281787901
2026-08-02 00:00:00+00:00,1846.06,927735.9111518736,248.48454962649345,-258.16429806966136,0.0,0.0,1.6531604073277242,0.0,0.0,-15.242179271852365,-68577.52499715086
2026-08-02 01:00:00+00:00,1856.29,930227.6050754711,238.83186521845752,-238.83186521845752,0.0,0.0,1.6623214481210693,258.1716620845652,0.0,-257.6343592373596,-68835.15935638822
2026-08-02 02:00:00+00:00,1876.2,934799.5472759358,220.63454207575387,-220.63454207575387,0.0,0.0,1.5543341985324555,275.24257092473545,0.0,69.95694470552553,-68765.2024116827
2026-08-02 03:00:00+00:00,1876.61,934889.8795235308,220.29212249352082,-220.63454207575387,0.0,0.0,1.4362185521415822,0.0,0.0,1.3083038961776765,-68763.89410778652
2026-08-02 04:00:00+00:00,1880.23,935680.736498009,216.86980922581782,-220.63454207575387,0.0,0.0,2.907535677573825,0.0,0.0,-4.932532158563845,-68768.82663994508
2026-08-02 05:00:00+00:00,1875.67,934682.5609031327,221.14823565384435,-220.63454207575387,0.0,0.0,2.900484219672538,0.0,0.0,10.818401208802243,-68758.00823873628
2026-08-02 06:00:00+00:00,1876.72,934914.0770549072,220.1209255420689,-220.63454207575387,0.0,0.0,2.90210791063665,0.0,0.0,2.7519905056688003,-68755.25624823061
2026-08-02 07:00:00+00:00,1875.32,934605.1466283418,221.31948396951796,-220.63454207575387,0.0,0.0,2.8999429893511675,0.0,0.0,2.857875329966191,-68752.39837290064
